id,geoid,pop2010,stateUSPS
0,4001.0,71518.0,AZ
1,4003.0,131346.0,AZ
2,4005.0,134421.0,AZ
3,4007.0,53597.0,AZ
4,4009.0,37220.0,AZ
5,4011.0,8437.0,AZ
6,4012.0,20489.0,AZ
7,4013.0,3817117.0,AZ
8,4015.0,200186.0,AZ
9,4017.0,107449.0,AZ
10,4019.0,980263.0,AZ
11,4021.0,375770.0,AZ
12,4023.0,47420.0,AZ
13,4025.0,211033.0,AZ
14,4027.0,195751.0,AZ
15,6001.0,1510271.0,CA
16,6003.0,1175.0,CA
17,6005.0,38091.0,CA
18,6007.0,220000.0,CA
19,6009.0,45578.0,CA
20,6011.0,21419.0,CA
21,6013.0,1049025.0,CA
22,6015.0,28610.0,CA
23,6017.0,181058.0,CA
24,6019.0,930450.0,CA
25,6021.0,28122.0,CA
26,6023.0,134623.0,CA
27,6025.0,174528.0,CA
28,6027.0,18546.0,CA
29,6029.0,839631.0,CA
30,6031.0,152982.0,CA
31,6033.0,64665.0,CA
32,6035.0,34895.0,CA
33,6037.0,9818605.0,CA
34,6039.0,150865.0,CA
35,6041.0,252409.0,CA
36,6043.0,18251.0,CA
37,6045.0,87841.0,CA
38,6047.0,255793.0,CA
39,6049.0,9686.0,CA
40,6051.0,14202.0,CA
41,6053.0,415057.0,CA
42,6055.0,136484.0,CA
43,6057.0,98764.0,CA
44,6059.0,3010232.0,CA
45,6061.0,348432.0,CA
46,6063.0,20007.0,CA
47,6065.0,2189641.0,CA
48,6067.0,1418788.0,CA
49,6069.0,55269.0,CA
50,6071.0,2035210.0,CA
51,6073.0,3095313.0,CA
52,6075.0,805235.0,CA
53,6077.0,685306.0,CA
54,6079.0,269637.0,CA
55,6081.0,718451.0,CA
56,6083.0,423895.0,CA
57,6085.0,1781642.0,CA
58,6087.0,262382.0,CA
59,6089.0,177223.0,CA
60,6091.0,3240.0,CA
61,6093.0,44900.0,CA
62,6095.0,413344.0,CA
63,6097.0,483878.0,CA
64,6099.0,514453.0,CA
65,6101.0,94737.0,CA
66,6103.0,63463.0,CA
67,6105.0,13786.0,CA
68,6107.0,442179.0,CA
69,6109.0,55365.0,CA
70,6111.0,823318.0,CA
71,6113.0,200849.0,CA
72,6115.0,72155.0,CA
73,32001.0,24877.0,NV
74,32003.0,1951269.0,NV
75,32005.0,46997.0,NV
76,32007.0,48818.0,NV
77,32009.0,783.0,NV
78,32011.0,1987.0,NV
79,32013.0,16528.0,NV
80,32015.0,5775.0,NV
81,32017.0,5345.0,NV
82,32019.0,51980.0,NV
83,32021.0,4772.0,NV
84,32023.0,43946.0,NV
85,32027.0,6753.0,NV
86,32029.0,4010.0,NV
87,32031.0,421407.0,NV
88,32033.0,10030.0,NV
89,32510.0,55274.0,NV
90,41001.0,16134.0,OR
91,41003.0,85579.0,OR
92,41005.0,375992.0,OR
93,41007.0,37039.0,OR
94,41009.0,49351.0,OR
95,41011.0,63043.0,OR
96,41013.0,20978.0,OR
97,41015.0,22364.0,OR
98,41017.0,157733.0,OR
99,41019.0,107667.0,OR
100,41021.0,1871.0,OR
101,41023.0,7445.0,OR
102,41025.0,7422.0,OR
103,41027.0,22346.0,OR
104,41029.0,203206.0,OR
105,41031.0,21720.0,OR
106,41033.0,82713.0,OR
107,41035.0,66380.0,OR
108,41037.0,7895.0,OR
109,41039.0,351715.0,OR
110,41041.0,46034.0,OR
111,41043.0,116672.0,OR
112,41045.0,31313.0,OR
113,41047.0,315335.0,OR
114,41049.0,11173.0,OR
115,41051.0,735334.0,OR
116,41053.0,75403.0,OR
117,41055.0,1765.0,OR
118,41057.0,25250.0,OR
119,41059.0,75889.0,OR
120,41061.0,25748.0,OR
121,41063.0,7008.0,OR
122,41065.0,25213.0,OR
123,41067.0,529710.0,OR
124,41069.0,1441.0,OR
125,41071.0,99193.0,OR
126,53001.0,18728.0,WA
127,53003.0,21623.0,WA
128,53005.0,175177.0,WA
129,53007.0,72453.0,WA
130,53009.0,71404.0,WA
131,53011.0,425363.0,WA
132,53013.0,4078.0,WA
133,53015.0,102410.0,WA
134,53017.0,38431.0,WA
135,53019.0,7551.0,WA
136,53021.0,78163.0,WA
137,53023.0,2266.0,WA
138,53025.0,89120.0,WA
139,53027.0,72797.0,WA
140,53029.0,78506.0,WA
141,53031.0,29872.0,WA
142,53033.0,1931249.0,WA
143,53035.0,251133.0,WA
144,53037.0,40915.0,WA
145,53039.0,20318.0,WA
146,53041.0,75455.0,WA
147,53043.0,10570.0,WA
148,53045.0,60699.0,WA
149,53047.0,41120.0,WA
150,53049.0,20920.0,WA
151,53051.0,13001.0,WA
152,53053.0,795225.0,WA
153,53055.0,15769.0,WA
154,53057.0,116901.0,WA
155,53059.0,11066.0,WA
156,53061.0,713335.0,WA
157,53063.0,471221.0,WA
158,53065.0,43531.0,WA
159,53067.0,252264.0,WA
160,53069.0,3978.0,WA
161,53071.0,58781.0,WA
162,53073.0,201140.0,WA
163,53075.0,44776.0,WA
164,53077.0,243231.0,WA
